flight_event_key,flight_id,airline,source,destination,route,departure_time,arrival_time,departure_date,flight_duration_minutes,calculated_duration_minutes,source_duration_minutes,duration_difference,overnight_flag,duplicate_flight_id_flag,invalid_flight_id_flag,missing_airline_flag,missing_source_flag,missing_destination_flag,missing_departure_time_flag,missing_arrival_time_flag,timestamp_order_flag,sj192_anomaly_flag,duration_anomaly_flag,duration_discrepancy_flag,referential_integrity_flag,duration_kpi_eligible_flag,anomaly_flag,anomaly_reason
Air India|AI069|DEL|BOM|2026-04-20 22:43:41.702,AI069,Air India,DEL,BOM,DEL → BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,2026-04-20,226.0,226.0,226.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI058|BOM|CCU|2026-04-20 22:40:41.701,AI058,Air India,BOM,CCU,BOM → CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,2026-04-20,98.0,98.0,98.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI140|BOM|DEL|2026-04-20 22:25:41.702,AI140,Air India,BOM,DEL,BOM → DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,2026-04-20,223.0,223.0,223.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ239|BOM|CCU|2026-04-20 22:24:41.704,SJ239,SpiceJet,BOM,CCU,BOM → CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,2026-04-20,106.0,106.0,106.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F099|MAA|DEL|2026-04-20 22:24:41.702,6F099,IndiGo,MAA,DEL,MAA → DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,2026-04-20,35.0,35.0,35.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI048|CCU|DEL|2026-04-20 22:23:41.701,AI048,Air India,CCU,DEL,CCU → DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,2026-04-20,232.0,232.0,232.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ112|HYD|DEL|2026-04-20 22:20:41.702,SJ112,SpiceJet,HYD,DEL,HYD → DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,2026-04-20,140.0,140.0,140.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F164|BLR|BOM|2026-04-20 22:18:41.703,6F164,IndiGo,BLR,BOM,BLR → BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,2026-04-20,147.0,147.0,147.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK021|HYD|MAA|2026-04-20 22:00:41.701,UK021,Vistara,HYD,MAA,HYD → MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,2026-04-20,110.0,110.0,110.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ172|CCU|DEL|2026-04-20 21:58:41.703,SJ172,SpiceJet,CCU,DEL,CCU → DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,2026-04-20,196.0,196.0,196.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI060|DEL|HYD|2026-04-20 21:58:41.701,AI060,Air India,DEL,HYD,DEL → HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,2026-04-20,113.0,113.0,113.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ205|HYD|CCU|2026-04-20 21:56:41.703,SJ205,SpiceJet,HYD,CCU,HYD → CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,2026-04-20,64.0,64.0,64.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ093|BLR|BOM|2026-04-20 21:55:41.702,SJ093,SpiceJet,BLR,BOM,BLR → BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,2026-04-20,66.0,66.0,66.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F195|CCU|DEL|2026-04-20 21:44:41.703,6F195,IndiGo,CCU,DEL,CCU → DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,2026-04-20,55.0,55.0,55.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK003|HYD|DEL|2026-04-20 21:41:41.700,UK003,Vistara,HYD,DEL,HYD → DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,2026-04-20,278.0,278.0,278.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK026|HYD|MAA|2026-04-20 21:38:41.701,UK026,Vistara,HYD,MAA,HYD → MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,2026-04-20,126.0,126.0,126.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F174|DEL|HYD|2026-04-20 21:36:41.703,6F174,IndiGo,DEL,HYD,DEL → HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,2026-04-20,40.0,40.0,40.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK067|BOM|CCU|2026-04-20 21:36:41.701,UK067,Vistara,BOM,CCU,BOM → CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,2026-04-20,206.0,206.0,206.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ149|HYD|MAA|2026-04-20 21:20:41.702,SJ149,SpiceJet,HYD,MAA,HYD → MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,2026-04-20,120.00496666666666,120.00496666666666,120.00496666666666,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F213|BLR|BOM|2026-04-20 21:05:41.703,6F213,IndiGo,BLR,BOM,BLR → BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,2026-04-20,207.0,207.0,207.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK200|CCU|DEL|2026-04-20 20:54:41.703,UK200,Vistara,CCU,DEL,CCU → DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,2026-04-20,111.0,111.0,111.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ214|BOM|MAA|2026-04-20 20:54:41.703,SJ214,SpiceJet,BOM,MAA,BOM → MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,2026-04-20,76.0,76.0,76.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ047|HYD|BOM|2026-04-20 20:44:41.701,SJ047,SpiceJet,HYD,BOM,HYD → BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,2026-04-20,37.0,37.0,37.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI179|HYD|BOM|2026-04-20 20:41:41.703,AI179,Air India,HYD,BOM,HYD → BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,2026-04-20,278.0,278.0,278.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ153|DEL|CCU|2026-04-20 20:37:41.702,SJ153,SpiceJet,DEL,CCU,DEL → CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,2026-04-20,83.0,83.0,83.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F236|BOM|DEL|2026-04-20 20:35:41.704,6F236,IndiGo,BOM,DEL,BOM → DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,2026-04-20,199.0,199.0,199.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK059|HYD|MAA|2026-04-20 20:33:41.701,UK059,Vistara,HYD,MAA,HYD → MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,2026-04-20,97.0,97.0,97.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ001|BOM|MAA|2026-04-20 20:28:41.700,SJ001,SpiceJet,BOM,MAA,BOM → MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,2026-04-20,287.0,287.0,287.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ049|CCU|DEL|2026-04-20 20:26:41.701,SJ049,SpiceJet,CCU,DEL,CCU → DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,2026-04-20,240.0,240.0,240.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F086|MAA|HYD|2026-04-20 20:23:41.702,6F086,IndiGo,MAA,HYD,MAA → HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,2026-04-20,37.0,37.0,37.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI220|BOM|DEL|2026-04-20 20:19:41.703,AI220,Air India,BOM,DEL,BOM → DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,2026-04-20,98.0,98.0,98.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI188|CCU|HYD|2026-04-20 20:16:41.703,AI188,Air India,CCU,HYD,CCU → HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,2026-04-20,166.0,166.0,166.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F114|BOM|MAA|2026-04-20 20:10:41.702,6F114,IndiGo,BOM,MAA,BOM → MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,2026-04-20,50.0,50.0,50.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ179|DEL|HYD|2026-04-20 20:09:41.703,SJ179,SpiceJet,DEL,HYD,DEL → HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,2026-04-20,210.0,210.0,210.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F190|DEL|MAA|2026-04-20 20:02:41.703,6F190,IndiGo,DEL,MAA,DEL → MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,2026-04-20,274.0,274.0,274.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ003|MAA|CCU|2026-04-20 19:50:41.701,SJ003,SpiceJet,MAA,CCU,MAA → CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,2026-04-20,42.0,42.0,42.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F028|HYD|CCU|2026-04-20 19:49:41.701,6F028,IndiGo,HYD,CCU,HYD → CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,2026-04-20,120.0,120.0,120.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK036|CCU|BLR|2026-04-20 19:48:41.701,UK036,Vistara,CCU,BLR,CCU → BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,2026-04-20,264.0,264.0,264.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ160|MAA|BLR|2026-04-20 19:45:41.703,SJ160,SpiceJet,MAA,BLR,MAA → BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,2026-04-20,45.0,45.0,45.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F151|CCU|HYD|2026-04-20 19:44:41.703,6F151,IndiGo,CCU,HYD,CCU → HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,2026-04-20,140.0,140.0,140.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK140|MAA|BLR|2026-04-20 19:37:41.703,UK140,Vistara,MAA,BLR,MAA → BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,2026-04-20,83.0,83.0,83.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI115|MAA|BLR|2026-04-20 19:37:41.702,AI115,Air India,MAA,BLR,MAA → BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,2026-04-20,289.0,289.0,289.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI132|BLR|BOM|2026-04-20 19:32:41.702,AI132,Air India,BLR,BOM,BLR → BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,2026-04-20,129.0,129.0,129.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK209|MAA|BLR|2026-04-20 19:02:41.704,UK209,Vistara,MAA,BLR,MAA → BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,2026-04-20,165.0,165.0,165.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ043|MAA|DEL|2026-04-20 18:59:41.701,SJ043,SpiceJet,MAA,DEL,MAA → DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,2026-04-20,129.0,129.0,129.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK176|HYD|BLR|2026-04-20 18:41:41.703,UK176,Vistara,HYD,BLR,HYD → BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,2026-04-20,248.0,248.0,248.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK216|MAA|HYD|2026-04-20 18:33:41.704,UK216,Vistara,MAA,HYD,MAA → HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,2026-04-20,194.0,194.0,194.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK150|DEL|CCU|2026-04-20 18:31:41.703,UK150,Vistara,DEL,CCU,DEL → CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,2026-04-20,30.0,30.0,30.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK145|BOM|HYD|2026-04-20 18:30:41.703,UK145,Vistara,BOM,HYD,BOM → HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,2026-04-20,131.0,131.0,131.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F270|HYD|MAA|2026-04-20 18:14:41.701,6F270,IndiGo,HYD,MAA,HYD → MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,2026-04-20,48.0,48.0,48.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F012|CCU|HYD|2026-04-20 18:06:41.701,6F012,IndiGo,CCU,HYD,CCU → HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,2026-04-20,205.0,205.0,205.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ236|MAA|BOM|2026-04-20 18:03:41.704,SJ236,SpiceJet,MAA,BOM,MAA → BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,2026-04-20,239.0,239.0,239.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F149|BLR|CCU|2026-04-20 17:57:41.703,6F149,IndiGo,BLR,CCU,BLR → CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,2026-04-20,165.0,165.0,165.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK004|BOM|CCU|2026-04-20 17:56:41.700,UK004,Vistara,BOM,CCU,BOM → CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,2026-04-20,34.0,34.0,34.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK010|MAA|HYD|2026-04-20 17:53:41.701,UK010,Vistara,MAA,HYD,MAA → HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,2026-04-20,167.0,167.0,167.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK215|BOM|DEL|2026-04-20 17:38:41.704,UK215,Vistara,BOM,DEL,BOM → DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,2026-04-20,132.0,132.0,132.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ116|HYD|CCU|2026-04-20 17:33:41.702,SJ116,SpiceJet,HYD,CCU,HYD → CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,2026-04-20,89.0,89.0,89.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ023|HYD|MAA|2026-04-20 17:27:41.701,SJ023,SpiceJet,HYD,MAA,HYD → MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,2026-04-20,102.0,102.0,102.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK152|BOM|CCU|2026-04-20 17:24:41.703,UK152,Vistara,BOM,CCU,BOM → CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,2026-04-20,169.0,169.0,169.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ202|CCU|HYD|2026-04-20 17:21:41.703,SJ202,SpiceJet,CCU,HYD,CCU → HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,2026-04-20,107.0,107.0,107.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F043|BOM|HYD|2026-04-20 17:17:41.701,6F043,IndiGo,BOM,HYD,BOM → HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,2026-04-20,86.0,86.0,86.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK173|MAA|BLR|2026-04-20 17:06:41.703,UK173,Vistara,MAA,BLR,MAA → BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,2026-04-20,256.0,256.0,256.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ081|BOM|BLR|2026-04-20 17:04:41.702,SJ081,SpiceJet,BOM,BLR,BOM → BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,2026-04-20,109.0,109.0,109.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK153|CCU|HYD|2026-04-20 16:52:41.703,UK153,Vistara,CCU,HYD,CCU → HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,2026-04-20,241.0,241.0,241.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK187|BLR|BOM|2026-04-20 16:52:41.703,UK187,Vistara,BLR,BOM,BLR → BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,2026-04-20,110.0,110.0,110.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK055|HYD|DEL|2026-04-20 16:48:41.701,UK055,Vistara,HYD,DEL,HYD → DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,2026-04-20,163.0,163.0,163.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK181|MAA|DEL|2026-04-20 16:44:41.703,UK181,Vistara,MAA,DEL,MAA → DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,2026-04-20,162.0,162.0,162.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK074|BOM|DEL|2026-04-20 16:44:41.702,UK074,Vistara,BOM,DEL,BOM → DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,2026-04-20,117.0,117.0,117.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ068|BLR|BOM|2026-04-20 16:44:41.701,SJ068,SpiceJet,BLR,BOM,BLR → BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,2026-04-20,124.0,124.0,124.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI242|BLR|CCU|2026-04-20 16:41:41.704,AI242,Air India,BLR,CCU,BLR → CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,2026-04-20,62.0,62.0,62.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
SpiceJet|SJ237|BOM|CCU|2026-04-20 16:32:41.704,SJ237,SpiceJet,BOM,CCU,BOM → CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,2026-04-20,148.0,148.0,148.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
IndiGo|6F194|BOM|CCU|2026-04-20 16:29:41.703,6F194,IndiGo,BOM,CCU,BOM → CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,2026-04-20,118.0,118.0,118.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK063|DEL|BOM|2026-04-20 16:29:41.701,UK063,Vistara,DEL,BOM,DEL → BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,2026-04-20,72.0,72.0,72.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK068|BLR|MAA|2026-04-20 16:28:41.701,UK068,Vistara,BLR,MAA,BLR → MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,2026-04-20,101.0,101.0,101.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK224|CCU|MAA|2026-04-20 16:25:41.704,UK224,Vistara,CCU,MAA,CCU → MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,2026-04-20,239.0,239.0,239.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK077|HYD|BOM|2026-04-20 16:22:41.702,UK077,Vistara,HYD,BOM,HYD → BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,2026-04-20,98.0,98.0,98.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Vistara|UK207|MAA|CCU|2026-04-20 16:21:41.703,UK207,Vistara,MAA,CCU,MAA → CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,2026-04-20,75.0,75.0,75.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
Air India|AI221|MAA|HYD|2026-04-20 16:18:41.703,AI221,Air India,MAA,HYD,MAA → HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,2026-04-20,156.0,156.0,156.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Valid
