passenger_id,gender,missing_last_name_flag,age_band
P1189,M,False,60+
P1190,F,False,46-60
P1191,F,False,60+
P1192,M,False,46-60
P1193,F,False,46-60
P1194,M,False,<18
P1195,M,False,36-45
P1196,M,False,<18
P1197,M,False,<18
P1198,M,False,46-60
P1199,F,False,60+
P1200,F,False,46-60
P1201,F,False,<18
P1202,F,False,<18
P1203,M,False,46-60
P1204,M,False,60+
P1205,M,False,<18
P1206,M,False,18-25
P1207,F,False,<18
P1208,M,False,46-60
P1209,M,False,36-45
P1210,F,False,26-35
P1211,F,False,60+
P1212,F,False,26-35
P1213,F,False,60+
P1214,M,False,46-60
P1215,M,False,60+
P1217,M,False,<18
P1218,M,False,36-45
P1219,M,False,18-25
P1220,F,False,60+
P1221,M,False,60+
P1222,F,False,60+
P1223,M,False,<18
P1224,M,False,<18
P1225,M,False,60+
P1226,F,False,46-60
P1227,M,False,60+
P1228,F,False,60+
P1229,F,False,<18
P1230,F,False,18-25
P1231,M,False,46-60
P1232,M,False,36-45
P1233,M,False,18-25
P1234,M,False,60+
P1235,F,False,18-25
P1237,F,False,60+
P1238,M,False,46-60
P1239,F,False,26-35
P1240,M,False,36-45
P1241,F,False,36-45
P1242,M,False,60+
P1243,M,False,<18
P1244,F,False,<18
P1245,F,False,46-60
P1246,F,False,60+
P1247,F,False,46-60
P1248,M,False,18-25
P1249,F,False,26-35
P1250,F,False,36-45
P1251,F,False,<18
P1253,M,False,46-60
P1254,F,False,<18
P1255,M,False,<18
P1256,F,False,46-60
P1257,M,False,<18
P1258,M,False,60+
P1259,M,False,36-45
P1260,M,False,26-35
P1261,F,False,<18
P1262,F,False,18-25
P1263,F,False,46-60
P1264,M,False,60+
P1265,F,False,<18
P1266,F,False,18-25
P1267,F,False,18-25
P1268,M,False,46-60
P1269,M,False,26-35
P1270,M,False,18-25
P1271,F,False,60+
P1272,F,False,60+
P1273,F,False,36-45
P1274,M,False,36-45
P1275,M,False,60+
P1276,F,False,60+
P1277,M,False,18-25
P1278,M,False,<18
P1279,M,False,60+
P1280,M,False,60+
P1281,F,False,46-60
P1282,M,False,26-35
P1283,M,False,60+
P1284,M,False,60+
P1285,M,False,36-45
P1286,F,False,26-35
P1287,F,False,60+
P1288,M,False,26-35
P1289,M,False,<18
P1290,M,False,18-25
P1291,M,False,46-60
P1292,M,False,18-25
P1293,M,False,<18
P1294,F,False,<18
P1295,M,False,60+
P1296,F,False,<18
P1297,F,False,26-35
P1298,M,False,46-60
P1299,F,False,60+
P1300,F,False,46-60
P1301,F,False,60+
P1302,F,False,18-25
P1303,F,False,26-35
P1304,F,False,36-45
P1305,M,False,46-60
P1306,F,False,46-60
P1307,F,False,<18
P1308,F,False,26-35
P1309,M,False,26-35
P1310,F,False,18-25
P1311,M,False,26-35
P1312,F,False,26-35
P1313,M,False,60+
P1314,M,False,60+
P1315,F,False,60+
P1316,F,False,46-60
P1317,M,False,18-25
P1318,F,False,<18
P1319,M,False,26-35
P1320,M,False,60+
P1321,M,False,46-60
P1322,M,False,<18
P1323,M,False,36-45
P1324,F,False,26-35
P1325,M,False,46-60
P1326,M,False,<18
P1327,F,False,36-45
P1328,M,False,18-25
P1329,F,False,46-60
P1330,F,False,46-60
P1332,M,False,60+
P1333,M,False,60+
P1334,M,False,26-35
P1335,F,False,60+
P1336,M,False,26-35
P1337,F,False,60+
P1338,M,False,<18
P1339,F,False,18-25
P1340,M,False,46-60
P1341,M,False,46-60
P1342,M,False,60+
P1343,F,False,46-60
P1344,F,False,18-25
P1345,M,False,26-35
P1346,M,False,46-60
P1347,F,False,60+
P1348,F,False,18-25
P1349,F,False,60+
P1350,M,False,26-35
P1351,F,False,<18
P1352,M,False,<18
P1353,F,False,26-35
P1354,M,False,<18
P1355,F,False,36-45
P1356,F,False,46-60
P1357,F,False,36-45
P1358,F,False,36-45
P1359,F,False,26-35
P1360,M,False,46-60
P1361,F,False,18-25
P1362,F,False,18-25
P1363,F,False,<18
P1364,M,False,46-60
P1365,F,False,<18
P1366,M,False,46-60
P1367,F,False,36-45
P1368,F,False,36-45
P1369,M,False,18-25
P1370,F,False,60+
P1371,M,False,<18
P1372,M,False,<18
P1373,F,False,<18
P1374,M,False,60+
P1375,F,False,60+
P1376,F,False,<18
P1377,M,False,60+
P1378,M,False,26-35
P1379,M,False,60+
P1380,M,False,60+
P1381,F,False,60+
P1382,F,False,46-60
P1383,M,False,18-25
P1384,F,False,46-60
P1385,F,False,60+
P1386,F,False,60+
P1387,F,False,18-25
P1388,M,False,46-60
P1389,M,False,46-60
P1390,F,False,60+
P1391,M,False,46-60
P1392,M,False,46-60
P1393,M,False,36-45
P1394,F,False,60+
P1395,F,False,<18
P1396,F,False,46-60
P1397,M,False,46-60
P1398,F,False,<18
P1399,F,False,46-60
P1400,M,False,46-60
P1401,F,False,<18
P1402,F,False,60+
P1403,M,False,<18
P1404,M,False,46-60
P1405,M,False,46-60
P1406,F,False,36-45
P1407,F,False,46-60
P1409,M,False,<18
P1410,M,False,26-35
P1411,F,False,18-25
P1412,F,False,<18
P1414,M,False,18-25
P1415,M,False,46-60
P1416,M,False,46-60
P1417,F,False,60+
P1418,M,False,18-25
P1419,F,False,<18
P1420,F,False,<18
P1421,F,False,<18
P1422,M,False,46-60
P1423,M,False,<18
P1424,M,False,26-35
P1425,M,False,46-60
P1426,F,False,60+
P1427,M,False,<18
P1428,M,False,<18
P1429,F,False,60+
P1430,M,False,60+
P1431,F,False,60+
P1432,F,False,60+
P1433,F,False,18-25
P1434,F,False,60+
P1435,F,False,60+
P1436,F,False,26-35
P1437,F,False,<18
P1438,F,False,46-60
P1439,M,False,60+
P1440,M,False,46-60
P1441,M,False,26-35
P1442,M,False,60+
P1443,F,False,60+
P1444,M,False,46-60
P1445,F,False,60+
P1446,M,False,60+
P1447,M,False,60+
P1448,M,False,<18
P1449,F,False,46-60
P1450,M,False,60+
P1451,F,False,36-45
P1452,F,False,26-35
P1453,M,False,18-25
P1454,M,False,<18
P1455,M,False,60+
P1456,F,False,26-35
P1457,M,False,46-60
P1458,F,False,<18
P1459,F,False,18-25
P1460,M,False,46-60
P1461,M,False,<18
P1462,F,False,60+
P1463,F,False,<18
P1464,F,False,<18
P1465,M,False,18-25
P1466,F,False,60+
P1467,M,False,<18
P1468,F,False,26-35
P1470,M,False,18-25
P1471,F,False,<18
P1472,M,False,46-60
P1473,M,False,26-35
P1474,F,False,26-35
P1475,M,False,26-35
P1476,M,False,60+
P1477,F,False,46-60
P1478,M,False,36-45
P1479,M,False,<18
P1480,M,False,60+
P1481,F,False,60+
P1482,M,False,26-35
P1483,F,False,36-45
P1484,F,False,60+
P1485,M,False,36-45
P1486,M,False,36-45
P1487,M,False,26-35
P1488,F,False,<18
P1489,M,False,<18
P1490,M,False,46-60
P1491,M,False,<18
P1492,M,False,26-35
P1493,M,False,60+
P1494,F,False,60+
P1495,F,False,<18
P1496,M,False,26-35
P1497,M,False,60+
P1498,M,False,26-35
P1499,M,False,<18
P1500,F,False,60+
P1501,M,False,46-60
P1502,F,False,60+
P1503,F,False,26-35
P1504,M,False,36-45
P1505,F,False,60+
P1506,F,False,18-25
P1507,F,False,36-45
P1508,F,False,<18
P1509,M,False,60+
P1510,M,False,18-25
P1511,F,False,60+
P1512,M,False,46-60
P1513,M,False,36-45
P1514,M,False,60+
P1515,M,False,18-25
P1516,M,False,18-25
P1517,F,False,60+
P1518,M,False,36-45
P1519,M,False,<18
P1520,M,False,46-60
P1521,M,False,<18
P1522,F,False,18-25
P1523,F,False,60+
P1524,F,False,26-35
P1525,F,False,<18
P1526,M,False,60+
P1527,F,False,60+
P1528,M,False,60+
P1529,M,False,60+
P1530,M,False,<18
P1531,M,False,46-60
P1532,M,False,18-25
P1533,F,False,46-60
P1534,F,False,<18
P1535,F,False,60+
P1536,F,False,18-25
P1537,M,False,60+
P1538,F,False,<18
P1539,M,False,60+
P1540,F,False,26-35
P1541,M,False,60+
P1543,F,False,60+
P1544,M,False,<18
P1545,M,False,60+
P1546,F,False,<18
P1547,M,False,18-25
P1548,F,False,46-60
P1549,F,False,60+
P1550,F,False,46-60
P1551,M,False,18-25
P1552,M,False,<18
P1553,M,False,46-60
P1554,F,False,36-45
P1555,M,False,46-60
P1556,F,False,36-45
P1557,F,False,46-60
P1558,M,False,36-45
P1559,F,False,<18
P1560,M,False,<18
P1561,M,False,26-35
P1562,M,False,60+
P1563,M,False,60+
P1564,M,False,<18
P1565,F,False,60+
P1566,F,False,<18
P1567,F,False,60+
P1568,M,False,46-60
P1569,M,False,<18
P1570,M,False,<18
P1571,F,False,46-60
P1572,M,False,<18
P1573,F,False,36-45
P1574,F,False,36-45
P1575,M,False,<18
P1576,M,False,46-60
P1577,F,False,26-35
P1578,M,False,60+
P1579,F,False,<18
P1580,M,False,26-35
P1581,M,False,36-45
P1582,F,False,36-45
P1583,M,False,60+
P1584,F,False,<18
P1585,M,False,60+
P1586,F,False,60+
P1587,F,False,<18
P1588,M,False,60+
P1589,F,False,60+
P1590,M,False,36-45
P1591,M,False,<18
P1592,M,False,36-45
P1593,F,False,60+
P1594,F,False,26-35
P1595,M,False,18-25
P1596,M,False,60+
P1597,F,False,46-60
P1598,M,False,36-45
P1599,M,False,60+
P1600,F,False,18-25
P1601,M,False,36-45
P1602,F,False,60+
P1603,M,False,36-45
P1604,F,False,<18
P1605,M,False,46-60
P1606,M,False,18-25
P1607,F,False,60+
P1608,M,False,60+
P1609,F,False,36-45
P1610,M,False,<18
P1611,F,False,<18
P1612,F,False,60+
P1613,F,False,60+
P1614,F,False,60+
P1616,M,False,46-60
P1617,F,False,26-35
P1618,F,False,36-45
P1619,F,False,<18
P1620,M,False,46-60
P1621,M,False,36-45
P1622,M,False,36-45
P1623,M,False,26-35
P1624,F,False,36-45
P1625,F,False,60+
P1626,F,False,46-60
P1627,M,False,18-25
P1628,M,False,60+
P1629,M,False,60+
P1631,F,False,36-45
P1632,M,False,18-25
P1633,F,False,18-25
P1634,M,False,46-60
P1635,M,False,<18
P1636,F,False,46-60
P1637,M,False,46-60
P1638,F,False,<18
P1639,M,False,<18
P1640,F,False,26-35
P1641,F,False,<18
P1642,F,False,46-60
P1643,M,False,<18
P1644,M,False,<18
P1645,F,False,60+
P1646,F,False,46-60
P1647,M,False,60+
P1648,M,False,<18
P1649,M,False,60+
P1650,F,False,<18
P1651,M,False,60+
P1652,M,False,60+
P1653,F,False,18-25
P1654,M,False,26-35
P1655,M,False,<18
P1656,M,False,36-45
P1657,F,False,<18
P1658,F,False,46-60
P1659,F,False,46-60
P1660,F,False,46-60
P1661,F,False,26-35
P1662,F,False,36-45
P1663,F,False,60+
P1664,M,False,26-35
P1665,M,False,60+
P1666,F,False,<18
P1667,M,False,60+
P1668,M,False,26-35
P1669,F,False,60+
P1670,M,False,60+
P1671,M,False,26-35
P1672,M,False,<18
P1673,M,False,46-60
P1674,M,False,26-35
P1675,F,False,<18
P1676,F,False,60+
P1677,F,False,60+
P1678,M,False,46-60
P1679,F,False,18-25
P1680,M,False,60+
P1681,M,False,<18
P1682,M,False,46-60
P1683,M,False,26-35
P1684,F,False,<18
P1685,F,False,26-35
P1686,M,False,60+
P1687,F,False,<18
P1688,M,False,46-60
P1689,F,False,<18
P1690,F,False,60+
P1691,M,False,26-35
P1692,F,False,60+
P1693,M,False,60+
P1694,F,False,60+
P1696,M,False,26-35
P1697,F,False,46-60
P1698,F,False,60+
P1699,M,False,26-35
P1700,F,False,<18
P1701,F,False,18-25
P1702,M,False,46-60
P1703,M,False,<18
P1704,F,False,60+
P1705,M,False,60+
P1706,M,False,<18
P1707,M,False,<18
P1708,F,False,46-60
P1709,F,False,18-25
P1710,M,False,46-60
P1712,M,False,60+
P1713,F,False,60+
P1714,M,False,60+
P1715,M,False,<18
P1716,F,False,60+
P1717,M,False,60+
P1718,F,False,60+
P1719,F,False,<18
P1720,M,False,46-60
P1721,M,False,36-45
P1722,F,False,60+
P1723,M,False,<18
P1724,M,False,60+
P1725,M,False,60+
P1726,M,False,26-35
P1729,F,False,36-45
P1730,M,False,26-35
P1731,M,False,26-35
P1732,M,False,46-60
P1733,F,False,<18
P1734,M,False,46-60
P1735,F,False,<18
P1736,F,False,60+
P1737,F,False,46-60
P1738,M,False,<18
P1739,F,False,46-60
P1740,M,False,<18
P1741,F,False,46-60
P1742,M,False,18-25
P1743,F,False,60+
P1744,M,False,60+
P1745,F,False,<18
P1746,M,False,60+
P1747,M,False,60+
P1748,M,False,46-60
P1749,M,False,36-45
P1750,F,False,60+
P1751,F,False,36-45
P1752,M,False,46-60
P1753,F,False,60+
P1754,M,False,26-35
P1755,M,False,60+
P1756,F,False,46-60
P1757,M,False,60+
P1758,M,False,46-60
P1759,F,False,36-45
P1760,M,False,60+
P1761,M,False,60+
P1762,M,False,26-35
P1763,M,False,46-60
P1764,F,False,60+
P1765,F,False,<18
P1766,F,False,26-35
P1767,M,False,<18
P1768,M,False,<18
P1769,F,False,46-60
P1770,M,False,<18
P1771,M,False,60+
P1772,M,False,<18
P1773,M,False,60+
P1774,F,False,60+
P1775,F,False,60+
P1776,F,False,26-35
P1777,M,False,<18
P1778,F,False,46-60
P1779,F,False,60+
P1780,M,False,60+
P1782,F,False,60+
P1783,F,False,18-25
P1784,F,False,46-60
P1785,F,False,60+
P1786,M,False,60+
P1787,F,False,<18
P1788,F,False,<18
P1789,M,False,<18
P1790,F,False,<18
P1791,M,False,46-60
P1792,M,False,18-25
P1793,M,False,60+
P1794,F,False,60+
P1795,F,False,26-35
P1796,M,False,26-35
P1797,F,False,46-60
P1798,F,False,60+
P1799,M,False,46-60
P1800,M,False,18-25
P1801,F,False,18-25
P1802,M,False,<18
P1803,F,False,60+
P1804,F,False,36-45
P1805,F,False,60+
P1806,F,False,18-25
P1808,M,False,60+
P1809,M,False,<18
P1810,M,False,<18
P1812,F,False,46-60
P1813,M,False,26-35
P1814,F,False,46-60
P1815,F,False,60+
P1816,F,False,36-45
P1817,M,False,26-35
P1818,M,False,60+
P1819,M,False,26-35
P1820,F,False,46-60
P1821,M,False,60+
P1822,M,False,46-60
P1823,M,False,60+
P1824,M,False,46-60
P1825,M,False,60+
P1826,M,False,60+
P1827,F,False,26-35
P1828,F,False,36-45
P1829,M,False,<18
P1830,M,False,<18
P1831,F,False,46-60
P1832,F,False,60+
P1833,M,False,46-60
P1834,M,False,46-60
P1835,M,False,60+
P1836,M,False,<18
P1837,F,False,26-35
P1838,M,False,60+
P1839,M,False,60+
P1840,M,False,60+
P1841,M,False,<18
P1842,F,False,26-35
P1843,F,False,<18
P1844,F,False,46-60
P1845,M,False,46-60
P1846,M,False,<18
P1847,F,False,<18
P1848,M,False,18-25
P1849,M,False,<18
P1850,F,False,36-45
P1851,F,False,<18
P1852,F,False,60+
P1853,F,False,60+
P1854,M,False,26-35
P1855,M,False,60+
P1856,F,False,36-45
P1857,M,False,46-60
P1859,F,False,60+
P1860,M,False,36-45
P1861,F,False,18-25
P1862,M,False,<18
P1863,M,False,<18
P1864,M,False,60+
P1865,M,False,18-25
P1866,F,False,60+
P1867,M,False,<18
P1868,F,False,60+
P1869,F,False,<18
P1870,F,False,60+
P1871,F,False,26-35
P1872,M,False,<18
P1873,M,False,36-45
P1874,F,False,60+
P1876,M,False,36-45
P1877,F,False,<18
P1878,M,False,46-60
P1879,F,False,26-35
P1880,M,False,60+
P1881,F,False,46-60
P1882,F,False,46-60
P1883,M,False,46-60
P1884,F,False,60+
P1885,F,False,26-35
P1886,M,False,46-60
P1887,F,False,18-25
P1888,M,False,18-25
P1890,F,False,60+
P1891,F,False,<18
P1892,F,False,60+
P1893,F,False,60+
P1894,F,False,60+
P1895,F,False,18-25
P1896,F,False,46-60
P1897,M,False,<18
P1898,F,False,<18
P1899,M,False,26-35
P1900,F,False,36-45
P1901,F,False,36-45
P1902,M,False,18-25
P1903,F,False,<18
P1904,F,False,60+
P1906,F,False,60+
P1907,F,False,<18
P1908,F,False,60+
P1909,M,False,<18
P1910,F,False,46-60
P1911,F,False,60+
P1913,F,False,60+
P1914,M,False,60+
P1915,M,False,60+
P1916,F,False,<18
P1917,F,False,26-35
P1918,M,False,46-60
P1919,M,False,36-45
P1920,F,False,36-45
P1921,M,False,<18
P1922,F,False,60+
P1923,M,False,26-35
P1924,M,False,60+
P1925,M,False,18-25
P1926,M,False,60+
P1927,F,False,18-25
P1928,M,False,<18
P1929,M,False,46-60
P1930,F,False,<18
P1932,M,False,60+
P1933,F,False,36-45
P1934,M,False,36-45
P1935,F,False,<18
P1936,F,False,60+
P1937,F,False,<18
P1938,F,False,26-35
P1939,M,False,<18
P1940,F,False,46-60
P1941,M,False,<18
P1942,M,False,<18
P1943,M,False,18-25
P1945,M,False,36-45
P1946,M,False,<18
P1947,M,False,<18
P1948,M,False,36-45
P1949,M,False,<18
P1950,M,False,60+
P1951,F,False,60+
P1952,F,False,60+
P1953,F,False,60+
P1954,M,False,<18
P1955,F,False,<18
P1956,F,False,60+
P1957,F,False,<18
P1958,M,False,18-25
P1959,M,False,36-45
P1960,M,False,26-35
P1961,M,False,46-60
P1962,F,False,60+
P1963,F,False,60+
P1964,F,False,46-60
P1965,F,False,46-60
P1966,M,False,60+
P1967,M,False,60+
P1968,M,False,<18
P1969,F,False,26-35
P1970,M,False,60+
P1971,M,False,26-35
P1972,F,False,<18
P1973,F,False,36-45
P1974,M,False,60+
P1975,M,False,18-25
P1976,M,False,46-60
P1977,M,False,60+
P1978,M,False,60+
P1979,M,False,<18
P1980,F,False,<18
P1981,F,False,46-60
P1983,M,False,26-35
P1984,F,False,60+
P1986,M,False,<18
P1987,F,False,60+
P1988,M,False,60+
P1989,M,False,26-35
P1990,F,False,60+
P1992,F,False,60+
P1993,M,False,36-45
P1995,F,False,<18
P1996,M,False,36-45
P1997,F,False,60+
P1998,F,False,36-45
